,study,subj,run,state,instruction,cot,errors,ipt,ed,pd,pd_ed,streets,turns,sum_deviation,sum_target_deviation,segment_pdist,segment_edist,pdist_to_dest,edist_to_dest,turn,start,goal,rt,rt_mode,rt_log,cot_log,ipt_log,cot_total,cot_log_total,state_ix,H,degree,H_total,N_dis_avg,N_dis_start,N_dis_sym_start,N_dis_goal,N_dis_sym_goal,TH_dis,rt_z,rt_log_z,cot_z,cot_log_z,ipt_z,ipt_log_z,cot_log_total_z,ed_z,pd_z,pd_ed_z,segment_pdist_z,segment_edist_z,pdist_to_dest_z,edist_to_dest_z,degree_z,sum_deviation_z,sum_target_deviation_z,H_z,H_total_z,N_dis_avg_z,N_dis_start_z,N_dis_goal_z,N_dis_sym_start_z,N_dis_sym_goal_z,TH_dis_z,rt_speed,step,steps
1,1,1,1,1119535815,townmead road,2.1,0.0,34.4,853.1911671,3680.134,4.313375644,8,38,1932.863449,5115.835591,510.153,327.1353741,3169.981,598.5504612,,1119535815,3738719792,2.1,cot,0.7419373447293773,0.7419373447293773,3.5380565643793527,8.100000000000001,-1.6957804222561648,22057,0.0,0,1.791759469228055,0.4170118754517386,0.4170011784112403,1.0,0.4170118760179668,1.000035446864358,0.0,0.6492226570655178,1.0481360530496604,0.6492226570655178,1.0481360530496604,0.4446842289295904,0.6301364326919175,-0.060375079540203984,-1.1514797069340839,-0.7398429766976411,1.5723868688302358,-0.12671073993088725,-0.2262226666986238,-0.12397516035010361,-0.8528180555564318,,-0.027114521062994636,0.23250654101647675,-1.2722595685032863,-1.173276998938725,0.025030501289907272,-0.305611216277192,0.0016759016317674541,0.06131642655452976,0.03936665764614883,-1.2722596338122318,slow,1,6
2,1,1,1,13565620,townmead road,0.3,0.0,34.4,853.1911671,3680.134,4.313375644,8,38,1932.863449,5115.835591,1.836,1.835534975,3168.145,597.4650527,0.0,1119535815,3738719792,0.3,cot,-1.2039728043259361,-1.2039728043259361,3.5380565643793527,8.100000000000001,-1.6957804222561648,22054,1.0986122886681096,0,1.791759469228055,0.4170118741590842,0.41701187602301004,1.0006230294088592,0.41701187595214795,1.0006071588833245,0.4581343694716892,-0.6518510888754997,-0.9508659889593158,-0.6518510888754997,-0.9508659889593158,0.4446842289295904,0.6301364326919175,-0.060375079540203984,-1.1514797069340839,-0.7398429766976411,1.5723868688302358,-0.52936785506367,-0.5397772520788575,-0.12454654207018934,-0.8532886160281158,,-0.027114521062994636,0.23250654101647675,0.6944056476634518,-1.173276998938725,0.018194036793238687,-0.0681194318320061,0.0016756572705006723,0.10213790176355156,0.07679979313524715,0.6944057573816642,fast,2,6
3,1,1,1,292535,wandsworth bridge road,1.6,0.0,34.4,853.1911671,3680.134,4.313375644,8,38,1932.863449,5115.835591,1315.421,1132.957558,1852.724,839.3695611,1.0,1119535815,3738719792,1.6,cot,0.47000362924573563,0.47000362924573563,3.5380565643793527,8.100000000000001,-1.6957804222561648,10949,0.6931471805599453,0,1.791759469228055,0.4170118750982683,0.4170118760361204,1.0000278355411798,0.41701189658057225,1.0000120733305575,0.2890506054843807,0.28781328319301297,0.7687829427291306,0.28781328319301297,0.7687829427291306,0.4446842289295904,0.6301364326919175,-0.060375079540203984,-1.1514797069340839,-0.7398429766976411,1.5723868688302358,0.5111724899999349,0.5505045565382377,-0.5339188261751926,-0.7484150135317388,,-0.027114521062994636,0.23250654101647675,-0.031431968309649005,-1.173276998938725,0.023161102042136963,-0.06811914077643529,0.0017522430489794781,0.0631402374983527,0.03783626362156189,-0.03143192039419073,slow,3,6
4,1,1,1,2793814639,wandsworth bridge,0.1,0.0,34.4,853.1911671,3680.134,4.313375644,8,38,1932.863449,5115.835591,354.114,354.0942974,1498.61,807.923431,1.0,1119535815,3738719792,0.1,cot,-2.3025850929940455,-2.3025850929940455,3.5380565643793527,8.100000000000001,-1.6957804222561648,10958,0.0,0,1.791759469228055,0.4170118762116017,0.41701187605166196,1.0000283608852736,0.41701187603499107,1.0000125000557898,0.0,-0.7964148384245016,-2.079452634899708,-0.7964148384245016,-2.079452634899708,0.4446842289295904,0.6301364326919175,-0.060375079540203984,-1.1514797069340839,-0.7398429766976411,1.5723868688302358,-0.25031513165535113,-0.20023712043962044,-0.6441226749913199,-0.7620479506355962,,-0.027114521062994636,0.23250654101647675,-1.2722595685032863,-1.173276998938725,0.029049190839902823,-0.0681187957466469,0.0016759648366453173,0.06317465853947148,0.03786420367338154,-1.2722596338122318,fast,4,6
5,1,1,1,2793814639,comply roundabout,1.3,0.0,34.4,853.1911671,3680.134,4.313375644,8,38,1932.863449,5115.835591,0.0,354.0942974,1498.61,807.923431,1.0,1119535815,3738719792,1.3,cot,0.26236426446749106,0.26236426446749106,3.5380565643793527,8.100000000000001,-1.6957804222561648,10958,0.0,0,1.791759469228055,0.4170118762116017,0.41701187605166196,1.0000283608852736,0.41701187603499107,1.0000125000557898,0.0,0.07096765886951002,0.5554783796203644,0.07096765886951002,0.5554783796203644,0.4446842289295904,0.6301364326919175,-0.060375079540203984,-1.1514797069340839,-0.7398429766976411,1.5723868688302358,-0.5308222200827108,-0.20023712043962044,-0.6441226749913199,-0.7620479506355962,,-0.027114521062994636,0.23250654101647675,-1.2722595685032863,-1.173276998938725,0.029049190839902823,-0.0681187957466469,0.0016759648366453173,0.06317465853947148,0.03786420367338154,-1.2722596338122318,slow,4,6
6,1,1,1,2793814639,york road,0.7,0.0,34.4,853.1911671,3680.134,4.313375644,8,38,1932.863449,5115.835591,0.0,354.0942974,1498.61,807.923431,1.0,1119535815,3738719792,0.7,cot,-0.35667494393873245,-0.35667494393873245,3.5380565643793527,8.100000000000001,-1.6957804222561648,10958,0.0,0,1.791759469228055,0.4170118762116017,0.41701187605166196,1.0000283608852736,0.41701187603499107,1.0000125000557898,0.0,-0.36272358977749586,-0.08045059289073249,-0.36272358977749586,-0.08045059289073249,0.4446842289295904,0.6301364326919175,-0.060375079540203984,-1.1514797069340839,-0.7398429766976411,1.5723868688302358,-0.5308222200827108,-0.20023712043962044,-0.6441226749913199,-0.7620479506355962,,-0.027114521062994636,0.23250654101647675,-1.2722595685032863,-1.173276998938725,0.029049190839902823,-0.0681187957466469,0.0016759648366453173,0.06317465853947148,0.03786420367338154,-1.2722596338122318,fast,4,6
9,1,3,1,292535,wandsworth bridge road,0.7,0.0,14.3,853.1911671,3622.57,4.245906591,8,33,1572.863449,4435.803941,387.88,387.8214293,1852.724,839.3695611,1.0,1119535815,3738719792,0.7,cot,-0.35667494393873245,-0.35667494393873245,2.6602595372658615,3.0,-2.821778966430553,10949,0.6931471805599453,0,1.791759469228055,0.4170118750982683,0.4170118760361204,1.0000278355411798,0.41701189658057225,1.0000120733305575,0.2890506054843807,-0.2256173538467548,0.4516494860369031,0.07439402491186911,0.8406259873765146,2.0035124341585244,1.5786325491594335,2.101251987472145,-1.1514797069340839,-0.7527735070719525,1.5305613607666915,-0.22356780636508236,-0.16772773805746294,-0.5339188261751926,-0.7484150135317388,,-0.3199940024034278,0.012132418216415738,-0.031431968309649005,-1.173276998938725,0.023161102042136963,-0.06811914077643529,0.0017522430489794781,0.0631402374983527,0.03783626362156189,-0.03143192039419073,slow,3,3
10,1,3,1,2793814639,wandsworth bridge,0.1,0.0,14.3,853.1911671,3622.57,4.245906591,8,33,1572.863449,4435.803941,354.114,354.0942974,1498.61,807.923431,1.0,1119535815,3738719792,0.1,cot,-2.3025850929940455,-2.3025850929940455,2.6602595372658615,3.0,-2.821778966430553,10958,0.0,0,1.791759469228055,0.4170118762116017,0.41701187605166196,1.0000283608852736,0.41701187603499107,1.0000125000557898,0.0,-0.4893259492520524,-0.879155396249064,-0.5015597163413101,-0.8112799601489237,2.0035124341585244,1.5786325491594335,2.101251987472145,-1.1514797069340839,-0.7527735070719525,1.5305613607666915,-0.25031513165535113,-0.20023712043962044,-0.6441226749913199,-0.7620479506355962,,-0.3199940024034278,0.012132418216415738,-1.2722595685032863,-1.173276998938725,0.029049190839902823,-0.0681187957466469,0.0016759648366453173,0.06317465853947148,0.03786420367338154,-1.2722596338122318,fast,4,3
11,1,3,1,292523,york road,0.5,0.0,14.3,853.1911671,3622.57,4.245906591,8,33,1572.863449,4435.803941,504.724,489.0194488,993.886,858.2543066,1.0,1119535815,3738719792,0.5,cot,-0.6931471805599453,-0.6931471805599453,2.6602595372658615,3.0,-2.821778966430553,10950,1.0986122886681096,0,1.791759469228055,0.4170118737984005,0.4170118760179668,1.000035446864358,0.4170077922812023,1.0,0.45813436907543764,-0.313520218981854,0.2215366540201865,-0.11759055550585727,0.5549907595004465,2.0035124341585244,1.5786325491594335,2.101251987472145,-1.1514797069340839,-0.7527735070719525,1.5305613607666915,-0.13101125610102496,-0.07018356732877623,-0.8011978750395278,-0.7402278519698825,,-0.3199940024034278,0.012132418216415738,0.6944056476634518,-1.173276998938725,0.01628648803827896,-0.06811954379427841,-0.01348551615903675,0.06363893858052863,0.03704575615701439,0.6944057556806476,slow,5,3
42,1,9,1,292535,wandsworth bridge road,0.7,0.0,5.6,853.1911671,3821.704,4.479305632,10,40,782.4068306,5241.806055,1487.61,1467.395664,1144.496,839.3695611,1.0,1119535815,3738719792,0.7,cot,-0.35667494393873245,-0.35667494393873245,1.7227665977411035,7.2,-0.2221440509811261,10949,0.6931471805599453,0,1.791759469228055,0.4170118750982683,0.4170118760361204,1.0000278355411798,0.41701189658057225,1.0000120733305575,0.2890506054843807,-0.5709847826757247,-0.2624874738463999,-0.3651765048697323,0.03137486047461976,0.7442610467383267,0.7995019417074409,0.9687724417907247,-1.1514797069340839,-0.7080422820778914,1.6752504150412353,0.6475699073548506,0.8728674631546325,-0.7543265238074472,-0.7484150135317388,,-0.9630732369009407,0.27332909758824314,-0.031431968309649005,-1.173276998938725,0.023161102042136963,-0.06811914077643529,0.0017522430489794781,0.0631402374983527,0.03783626362156189,-0.03143192039419073,fast,3,2
43,1,9,1,292523,york road,1.1,0.0,5.6,853.1911671,3821.704,4.479305632,10,40,782.4068306,5241.806055,150.61,137.9312819,993.886,858.2543066,0.0,1119535815,3738719792,1.1,cot,0.09531017980432493,0.09531017980432493,1.7227665977411035,7.2,-0.2221440509811261,10950,1.0986122886681096,0,1.791759469228055,0.4170118737984005,0.4170118760179668,1.000035446864358,0.4170077922812023,1.0,0.45813436907543764,-0.3451006928259876,0.11621531634178792,0.06329726084408718,0.46761265950387376,0.7442610467383267,0.7995019417074409,0.9687724417907247,-1.1514797069340839,-0.7080422820778914,1.6752504150412353,-0.4115183445283847,-0.40859536888498404,-0.8011978750395278,-0.7402278519698825,,-0.9630732369009407,0.27332909758824314,0.6944056476634518,-1.173276998938725,0.01628648803827896,-0.06811954379427841,-0.01348551615903675,0.06363893858052863,0.03704575615701439,0.6944057556806476,slow,5,2
